"TL","Territory Level and Typology","REG_ID","Region","VAR","Variable","VINTAGE","Vintage","DWELLINGS","Dwellings","MEASURE","Measure","FREQ","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"2","Large regions","US02","Alaska (USA)","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","2016","2016","IDX","Index","0","Units","2015_100","2015=100",101.974,,
"2","Large regions","US02","Alaska (USA)","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","2017","2017","IDX","Index","0","Units","2015_100","2015=100",103.295,,
"2","Large regions","US02","Alaska (USA)","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",104.366,,
"2","Large regions","US02","Alaska (USA)","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",106.729,,
"2","Large regions","US02","Alaska (USA)","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",110.328,,
"2","Large regions","US02","Alaska (USA)","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","2021","2021","IDX","Index","0","Units","2015_100","2015=100",119.492,,
"2","Large regions","US02","Alaska (USA)","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","2022","2022","IDX","Index","0","Units","2015_100","2015=100",133.392,,
"2","Large regions","US04","Arizona (USA)","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","1990","1990","IDX","Index","0","Units","2015_100","2015=100",41.493,,
"2","Large regions","US04","Arizona (USA)","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","1991","1991","IDX","Index","0","Units","2015_100","2015=100",42.382,,
"2","Large regions","US04","Arizona (USA)","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","1992","1992","IDX","Index","0","Units","2015_100","2015=100",43.656,,
"2","Large regions","US04","Arizona (USA)","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","1993","1993","IDX","Index","0","Units","2015_100","2015=100",44.745,,
"2","Large regions","US04","Arizona (USA)","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","1994","1994","IDX","Index","0","Units","2015_100","2015=100",47.045,,
"2","Large regions","US04","Arizona (USA)","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","1995","1995","IDX","Index","0","Units","2015_100","2015=100",49.812,,
"2","Large regions","US04","Arizona (USA)","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","1996","1996","IDX","Index","0","Units","2015_100","2015=100",52.229,,
"2","Large regions","US04","Arizona (USA)","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","1997","1997","IDX","Index","0","Units","2015_100","2015=100",54.292,,
"2","Large regions","US04","Arizona (USA)","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","1998","1998","IDX","Index","0","Units","2015_100","2015=100",57.136,,
"2","Large regions","US04","Arizona (USA)","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","1999","1999","IDX","Index","0","Units","2015_100","2015=100",59.84,,
"2","Large regions","US04","Arizona (USA)","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","2000","2000","IDX","Index","0","Units","2015_100","2015=100",63.436,,
"2","Large regions","US04","Arizona (USA)","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","2001","2001","IDX","Index","0","Units","2015_100","2015=100",67.621,,
"2","Large regions","US04","Arizona (USA)","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","2002","2002","IDX","Index","0","Units","2015_100","2015=100",71.298,,
