Year,FIPS_Code,State,Area_Name,Civilian_labor_force,Employed,Unemployed,Unemployment_rate
2004,9000,CT,Connecticut,1777510.0,1687121.0,90389.0,5.100000000000001
2004,10000,DE,Delaware,421093.0,402992.0,18101.0,4.3
2004,12000,FL,Florida,8347316.0,8033591.0,313725.0,3.8
2004,13000,GA,Georgia,4464780.0,4236301.0,228479.0,5.100000000000001
2004,15000,HI,Hawaii,611752.0,591594.0,20158.0,3.3
2004,16000,ID,Idaho,702872.0,668638.0,34234.0,4.9
2004,17000,IL,Illinois,6348716.0,5955739.0,392977.0,6.2
2004,18000,IN,Indiana,3165247.0,2993991.0,171256.0,5.4
2004,19000,IA,Iowa,1607438.0,1534634.0,72804.0,4.5
2004,20000,KS,Kansas,1458910.0,1378355.0,80555.0,5.5
2004,21000,KY,Kentucky,1969935.0,1861750.0,108185.0,5.5
2004,22000,LA,Louisiana,2030415.0,1914521.0,115894.0,5.7
2004,23000,ME,Maine,685989.0,654082.0,31907.0,4.7
2004,24000,MD,Maryland,2885111.0,2752186.0,132925.0,4.600000000000001
2004,25000,MA,Massachusetts,3400830.0,3226991.0,173839.0,5.100000000000001
2004,26000,MI,Michigan,5056148.0,4703962.0,352186.0,7.0
2004,27000,MN,Minnesota,2893478.0,2760746.0,132732.0,4.600000000000001
2004,28000,MS,Mississippi,1314982.0,1234123.0,80859.0,6.100000000000001
2004,29000,MO,Missouri,2995924.0,2819803.0,176121.0,5.9
2004,30000,MT,Montana,478226.0,456674.0,21552.0,4.5
2004,31000,NE,Nebraska,973636.0,935722.0,37914.0,3.9
2004,32000,NV,Nevada,1178651.0,1126205.0,52446.0,4.4
2004,33000,NH,New Hampshire,715495.0,688271.0,27224.0,3.8
2004,34000,NJ,New Jersey,4348048.0,4134064.0,213984.0,4.9
2004,35000,NM,New Mexico,890462.0,841002.0,49460.0,5.600000000000001
2004,36000,NY,New York,9359930.0,8816050.0,543880.0,5.800000000000001
2004,37000,NC,North Carolina,4287954.0,4036223.0,251731.0,5.9
2004,38000,ND,North Dakota,353652.0,341694.0,11958.0,3.4
2004,39000,OH,Ohio,5853714.0,5487218.0,366496.0,6.300000000000001
2004,40000,OK,Oklahoma,1690505.0,1610799.0,79706.0,4.7
2004,41000,OR,Oregon,1845407.0,1709561.0,135846.0,7.4
2004,42000,PA,Pennsylvania,6212828.0,5878607.0,334221.0,5.4
2004,44000,RI,Rhode Island,555679.0,526489.0,29190.0,5.300000000000001
2004,45000,SC,South Carolina,2043864.0,1891722.0,152142.0,7.4
2004,46000,SD,South Dakota,425953.0,410618.0,15335.0,3.6
2004,47000,TN,Tennessee,2897792.0,2742911.0,154881.0,5.300000000000001
2004,48000,TX,Texas,10998258.0,10336114.0,662144.0,6.0
2004,49000,UT,Utah,1231740.0,1170046.0,61694.0,5.0
2004,50000,VT,Vermont,347352.0,334555.0,12797.0,3.7
2004,51000,VA,Virginia,3814529.0,3658421.0,156108.0,4.100000000000001
2004,53000,WA,Washington,3189389.0,2988316.0,201073.0,6.300000000000001
2004,54000,WV,West Virginia,789527.0,743989.0,45538.0,5.800000000000001
2004,55000,WI,Wisconsin,3034621.0,2883573.0,151048.0,5.0
2004,56000,WY,Wyoming,274736.0,264187.0,10549.0,3.8
2005,0,US,United States,148597241.0,141000912.0,7596329.0,5.100000000000001
2005,1000,AL,Alabama,2140356.0,2045234.0,95122.0,4.4
2005,2000,AK,Alaska,344157.0,320273.0,23884.0,6.9
2005,4000,AZ,Arizona,2862517.0,2729018.0,133499.0,4.7
2005,5000,AR,Arkansas,1333880.0,1263663.0,70217.0,5.300000000000001
2005,6000,CA,California,17537931.0,16593622.0,944309.0,5.4
2005,8000,CO,Colorado,2572382.0,2442134.0,130248.0,5.100000000000001
2005,9000,CT,Connecticut,1794301.0,1707935.0,86366.0,4.800000000000001
2005,10000,DE,Delaware,433375.0,413828.0,19547.0,4.5
2005,12000,FL,Florida,8647279.0,8400346.0,246933.0,2.9
2005,13000,GA,Georgia,4598159.0,4336264.0,261895.0,5.7
2005,15000,HI,Hawaii,625530.0,607853.0,17677.0,2.8
2005,16000,ID,Idaho,730354.0,701400.0,28954.0,4.0
2005,17000,IL,Illinois,6410767.0,6044685.0,366082.0,5.7
2005,18000,IN,Indiana,3202215.0,3029258.0,172957.0,5.4
2005,19000,IA,Iowa,1628510.0,1558522.0,69988.0,4.3
2005,20000,KS,Kansas,1458767.0,1384654.0,74113.0,5.100000000000001
2005,21000,KY,Kentucky,1991726.0,1874747.0,116979.0,5.9
2005,22000,LA,Louisiana,2078215.0,1929492.0,148723.0,7.2
2005,23000,ME,Maine,695280.0,661176.0,34104.0,4.9
2005,24000,MD,Maryland,2931581.0,2799960.0,131621.0,4.5
2005,25000,MA,Massachusetts,3385536.0,3222953.0,162583.0,4.800000000000001
2005,26000,MI,Michigan,5069602.0,4725701.0,343901.0,6.800000000000001
2005,27000,MN,Minnesota,2880908.0,2762419.0,118489.0,4.100000000000001
2005,28000,MS,Mississippi,1317407.0,1217359.0,100048.0,7.600000000000001
2005,29000,MO,Missouri,3011096.0,2847795.0,163301.0,5.4
2005,30000,MT,Montana,485546.0,465728.0,19818.0,4.100000000000001
2005,31000,NE,Nebraska,972759.0,935914.0,36845.0,3.8
2005,32000,NV,Nevada,1228449.0,1177587.0,50862.0,4.100000000000001
2005,33000,NH,New Hampshire,726101.0,699666.0,26435.0,3.6
2005,34000,NJ,New Jersey,4387304.0,4192396.0,194908.0,4.4
2005,35000,NM,New Mexico,906007.0,858722.0,47285.0,5.2
2005,36000,NY,New York,9455488.0,8986176.0,469312.0,5.0
2005,37000,NC,North Carolina,4348830.0,4105112.0,243718.0,5.600000000000001
2005,38000,ND,North Dakota,356385.0,344595.0,11790.0,3.3
2005,39000,OH,Ohio,5880691.0,5531429.0,349262.0,5.9
2005,40000,OK,Oklahoma,1709289.0,1635004.0,74285.0,4.3
2005,41000,OR,Oregon,1848897.0,1734710.0,114187.0,6.2
2005,42000,PA,Pennsylvania,6256642.0,5943887.0,312755.0,5.0
2005,44000,RI,Rhode Island,563439.0,534535.0,28904.0,5.100000000000001
2005,45000,SC,South Carolina,2071111.0,1919644.0,151467.0,7.300000000000001
2005,46000,SD,South Dakota,429361.0,414088.0,15273.0,3.6
2005,47000,TN,Tennessee,2898490.0,2738224.0,160266.0,5.5
2005,48000,TX,Texas,11172694.0,10561373.0,611321.0,5.5
2005,49000,UT,Utah,1280653.0,1228827.0,51826.0,4.0
2005,50000,VT,Vermont,349521.0,337407.0,12114.0,3.5
2005,51000,VA,Virginia,3906549.0,3756587.0,149962.0,3.8
